,,,,,,date extracted,20160611,20160611,20160611,20160611,20160611,20160611,20160611,20160611,20160611,20160611,20160611,20160611,20160611,20160611,20160611,20160611,20160611,20160611,20160611,20160611,20160611,20160611,20160611,20160611,20160611,20160611,20160611,20160611,20160611,20160611,20160611,20160611,20160611,20160611,20160611,20160611,20160611,20160611,20160611,20160611,20160611,20160611,20160611,20160611,20160611,20160611,20160611,20160611,20160611,20160611,20160612,20160612,20160612,20160612,20160612,20160612,20160612,20160612,20160612,20160612,20160612,20160612,20160612,20160612,20160612,20160612,20160612,20160612,20160612,20160612,20160612,20160612,20160612,20160612,20160612,20160612,20160612,20160612,20160612,20160612,20160612,20160612,20160612,20160612,20160612,20160612,20160612,20160612,20160612,20160612,20160612,20160612,20160612,20160612,20160612,20160612,20160612,20160612,20160612,20160612
,,,,,,column,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,injection order,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
metabolite,method,HMDB id,mz,rt,comment,processing compound id,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50,s51,s52,s53,s54,s55,s56,s57,s58,s59,s60,s61,s62,s63,s64,s65,s66,s67,s68,s69,s70,s71,s72,s73,s74,s75,s76,s77,s78,s79,s80,s81,s82,s83,s84,s85,s86,s87,s88,s89,s90,s91,s92,s93,s94,s95,s96,s97,s98,s99,s100
met1,expriment,NA,66.94,1.18,NA,cmp.met1,35982,35918,33759,38325,50119,38380,39766,37937,36066,40236,35204,40747,34732,33161,34223,30999,34823,35265,35101,44446,40600,35167,34794,35232,46380,37860,39086,34960,38660,35124,34298,34249,42775,33769,33639,32790,33552,54720,36944,36930,35988,36776,35458,33888,36004,34455,38098,36283,36721,33711,31583,29168,36976,33583,30311,29761,33886,34614,35403,40197,58237,43071,37528,39775,40186,28869,42562,39272,36999,37737,39940,40605,38154,38874,40001,39770,38457,37362,38962,38287,37207,38089,52652,36543,38523,42636,44405,38244,36402,41784,24828,25033,24602,28332,37096,28758,27572,28156,25809,24648
met2,expriment,NA,48.91,0.8,NA,cmp.met2,62690,64739,58415,63087,62793,61945,61584,64025,59802,61282,60765,57091,58360,57007,57187,58374,60529,56685,58545,56754,57665,54908,57373,59119,54805,58555,60034,55255,61691,53755,76949,67258,73735,70124,64665,62304,66985,66804,63247,64812,65170,67022,65852,62629,67084,63136,68709,65328,66438,63587,67290,61729,65484,67493,61382,55281,65764,65654,65153,68489,67439,75061,73270,68081,67753,66027,67903,63395,62698,62558,65156,64658,59873,62833,63275,66011,67267,63777,65958,62946,61377,65780,68302,62170,63229,65195,70587,62533,64341,62661,56690,60002,63209,68162,61608,77793,70563,66550,62279,58512
met3,expriment,NA,25.19,0.28,NA,cmp.met3,1944,1792,1951,2269,2182,2057,1999,1955,2053,1855,2349,2433,2240,2198,1840,2266,2335,2212,1839,2128,2228,1988,2050,2129,2018,1968,2250,2013,2347,2066,2080,2006,2178,2300,2225,1715,1949,2213,2245,1925,2354,2011,1962,1830,2057,2146,2190,1824,1949,2192,1874,1588,1673,1675,1700,1539,1613,1913,1804,1875,1818,2070,1575,1806,2053,1414,1957,1876,2150,1704,1901,2205,2185,2052,2111,2234,2250,2421,2301,2071,2100,2006,2506,2352,1919,1936,2014,1752,2161,1966,1872,1906,1734,1849,1875,2055,2037,1909,1799,1732
met4,expriment,NA,61.64,0.15,NA,cmp.met4,73543,74357,69380,72591,72600,70095,72091,73613,67420,72861,68921,60349,63368,61434,61136,63636,64206,63399,65215,61934,62921,59035,62299,62794,59349,63492,67279,62524,65505,59836,86081,76079,81242,77771,74285,68155,75986,74153,74156,74224,75490,75976,77812,71249,75475,71654,80062,75446,78092,74001,73862,66601,68883,74832,65695,62075,70949,71962,68601,71759,75781,81781,83426,76735,74604,69308,71590,71539,72886,69295,72330,76343,71167,73289,72490,72801,76671,72192,77941,72428,67117,73574,74770,71356,67348,72716,79030,69792,71884,68920,66749,67999,72050,78728,66563,87611,82382,75031,70748,67905
met5,expriment,NA,59.89,1.86,NA,cmp.met5,3618,3175,3316,3414,4260,3849,3492,3939,3423,3429,3033,3303,3127,3258,2864,3129,2831,2948,2944,3264,3186,2840,3155,3088,2972,2821,3334,2910,3207,2715,3900,3836,4140,4319,3393,3501,3944,4313,3835,3752,3668,3455,3844,3467,3881,3661,3348,3574,3637,3423,3088,2827,3276,3219,2944,2779,3079,3446,3356,3642,4317,4235,3919,3409,3856,3667,3815,3566,3283,3271,4083,3814,3674,3583,3797,3930,3977,3404,3766,3505,3216,3220,4391,3619,3763,3785,4039,3371,3643,3741,2712,2721,2826,3212,3106,10062,3104,3025,3214,2450
met6,expriment,NA,128.91,1.65,NA,cmp.met6,2421,2144,2293,2035,2773,2365,2301,2409,2235,2229,1619,1857,1795,1995,1643,1755,1899,1656,1951,1697,1942,1620,1779,1945,1677,1848,1831,1680,1987,1774,2298,2205,2111,2295,2070,2083,2266,2450,2342,2228,1949,2095,2167,1857,2173,1727,1977,1855,2163,2005,1828,1774,2086,2074,1974,1967,2102,2201,2122,2376,2495,2437,2563,2097,2535,2256,2259,2386,2079,2164,2372,2279,2053,2205,1915,2331,2533,2210,2240,2193,2011,1999,2693,2053,2247,2232,2665,2328,2128,2250,1566,1684,1729,1839,2212,6065,1655,1863,1932,1497
met7,expriment,NA,202.32,1.48,NA,cmp.met7,38593,41415,40245,38280,45436,42100,42762,40913,35364,39258,46088,43911,39303,43256,40917,39703,39871,43071,43217,44148,40578,42408,42858,41135,44893,42882,43489,41852,45809,40630,38162,39886,43414,39575,39451,37488,40473,45289,36935,38810,38012,41908,41089,39882,42637,41326,39912,41514,41240,40385,36574,35714,36376,40411,38494,34710,39678,41384,39989,43894,46580,46901,41583,45581,43049,47036,43173,42548,40794,40094,40525,42779,39785,44729,44025,42247,42535,44936,46560,43797,41853,42142,46743,43841,44357,45795,50209,42023,46572,47979,33860,37381,37168,40401,40223,44232,42756,42282,40754,38294
met8,expriment,NA,45.74,0.92,NA,cmp.met8,7018,5780,5393,5577,7181,5552,5669,5737,4613,5254,8315,6303,6862,7495,6599,5584,7870,8229,8923,7995,8366,7337,7549,7696,7610,8930,7141,7985,8263,7104,6527,6383,8640,7911,8813,6870,8504,9325,8211,5727,7520,8970,7697,7652,9398,7598,6594,8246,9715,7998,6551,6870,7439,8550,6012,7330,8094,7651,8208,7995,10042,10576,9473,8902,10101,7556,8529,8360,8100,8690,6659,6907,6123,6218,7178,6221,6537,7068,8088,6473,7073,6373,8940,6983,7241,7968,8488,7288,7961,7626,5093,6078,5839,6758,6639,7382,8021,6427,6814,6218
